user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
"Feature: Data Validation
Scenario: Email Format Validation
Given user is on registration form
When user enters invalid email format ""notanemail""
And user tries to submit form
What should happen?","['Then System displays ""Please enter a valid email address"" error message']","In this scenario, the system should display an error message indicating that the email format is invalid. Specifically, the system should reject the submission due to the ""notanemail"" format entered in the email field.","Then System displays ""Please enter a valid email address"" error message",1.0,0.7545237823821705,0.9999999999,1.0
"Feature: Data Validation
Scenario: Required Fields Validation
Given user is on form with required fields marked
When user leaves mandatory fields empty
And user tries to submit form
What should happen?",['Then Form displays specific error messages for each missing required field'],"In this scenario, the system should display an error message indicating that all marked required fields must be filled before submission. The system should not allow the user to submit the form until the mandatory fields have been populated.",Then Form displays specific error messages for each missing required field,1.0,0.0,0.9999999999,1.0
"Feature: Role-Based Access
Scenario: Admin Dashboard Access
Given user with admin role is logged in
When user navigates to Admin Dashboard
And nan
What should happen?","['Then Dashboard loads with admin controls showing analytics, user management, and system settings']","In this scenario, the system should allow the admin user to access the Admin Dashboard. Upon navigating to the Admin Dashboard, the user should be granted the appropriate permissions and view the dashboard content.","Then Dashboard loads with admin controls showing analytics, user management, and system settings",1.0,0.6624466354746116,0.9999999999,1.0
"Feature: Role-Based Access
Scenario: Regular User Access Denied
Given user with regular user role is logged in
When user tries to access Admin Dashboard URL directly
And nan
What should happen?","['Then System displays ""Access Denied"" error and redirects user to home page']","In this scenario, the system should deny the regular user access to the Admin Dashboard URL. The system should return an error message or redirect the user to an unauthorized page, preventing access due to their assigned role.","Then System displays ""Access Denied"" error and redirects user to home page",1.0,0.7123190614780475,0.9999999999,1.0
"Feature: Search Functionality
Scenario: Search Posts by Title
Given user is on home page with search box visible
When user enters search query ""project management""
And user presses SEARCH button
What should happen?",['Then Posts matching search query appear ranked by relevance'],"In this scenario, the system should display a list of posts whose titles contain the term ""project management"". The system should populate the results based on the user's search query entered into the search box.",Then Posts matching search query appear ranked by relevance,1.0,0.6418973229084227,0.9999999999,1.0
"Feature: Search Functionality
Scenario: Empty Search Results
Given user is on home page
When user enters search query with no matches ""xyzabc12345""
And user presses SEARCH button
What should happen?","['Then Message ""No posts found"" appears with suggestion to refine search']","In this scenario, the system should display a message indicating that no search results were found for the query ""xyzabc12345"". The message should be clearly visible on the results page, reflecting the user's press of the SEARCH button after an empty search.","Then Message ""No posts found"" appears with suggestion to refine search",0.3333333333333333,0.6846326050329586,0.9999999999,1.0
"Feature: Version Control
Scenario: Create New Version
Given user is editing a document
When user makes changes to document content
And user clicks SAVE DOCUMENT button
What should happen?",['Then New version is created with timestamp and previous version is preserved for revert'],"In this scenario, the system should save the changes made to the document content. This should occur after the user clicks the SAVE DOCUMENT button while the document is being edited.",Then New version is created with timestamp and previous version is preserved for revert,0.6666666666666666,0.7287758568276604,0.9999999999,1.0
"Feature: Version Control
Scenario: View Version History
Given user is viewing a document
When user clicks VERSION HISTORY button
And nan
What should happen?",['Then Version timeline displays all previous versions with creation time and author info'],"In this scenario, the system should display the version history of the document the user is currently viewing. This should occur after the user clicks the VERSION HISTORY button.",Then Version timeline displays all previous versions with creation time and author info,0.5,0.0,0.9999999999,1.0
"Feature: Requirement Tracking
Scenario: Create New Requirement
Given user is on Requirements module
When user clicks CREATE REQUIREMENT button
And user fills requirement title and description, assigns priority level, and submits
What should happen?",['Then New requirement appears in tracking list with unique ID and status'],"In this scenario, the system should create a new requirement record with the provided title, description, priority level, and store it within the Requirements module. Upon submission, a confirmation message should be displayed indicating the successful creation of the requirement.",Then New requirement appears in tracking list with unique ID and status,0.14285714285714285,0.0,0.9999999999,1.0
"Feature: Requirement Tracking
Scenario: Update Requirement Status
Given user is viewing a requirement
When user clicks on status dropdown
And user selects new status ""In Progress""
What should happen?",['Then Requirement status is updated and change is logged with timestamp and notified to stakeholders'],"In this scenario, the system should update the selected requirement’s status to “In Progress” immediately after the user selects it from the status dropdown. The requirement’s status field should reflect this new “In Progress” value within the user interface.",Then Requirement status is updated and change is logged with timestamp and notified to stakeholders,0.6,0.7107756751891424,0.9999999999,1.0
