Sno,Filter,Filter command,Example,Result,Threshold,Range
28,,Blur with Explicit Radius and Sigma:,magick input.jpg -blur 3x10 output.jpg,"A Gaussian blur is applied with a radius of 3 and a sigma of 10. The image becomes heavily blurred, with the higher sigma creating a more pronounced blur effect.",,
29,,Minimal Blur (Light Blur):,magick input.jpg -blur 0x1 output.jpg,"A very light blur is applied using a sigma of 1. The image will appear slightly softened, with details still largely preserved.",,
30,,Heavy Blur:,magick input.jpg -blur 0x20 output.jpg,"A very strong Gaussian blur is applied with a sigma of 20, causing the image to become heavily blurred, making fine details almost unrecognizable.",,
31,,Moderate Blur with Small Radius:,magick input.jpg -blur 2x5 output.jpg,A moderate blur is applied with a radius of 2 and a sigma of 5. The result will be a blur effect that is more localized due to the smaller radius but still noticeable.,,
32,,Precision Blur with Radius Only:,magick input.jpg -blur 4 output.jpg,"A blur is applied with just the radius set to 4 (without explicitly setting sigma). This results in ImageMagick computing a suitable sigma automatically, giving a balanced blur effect.",,
33,"/-border
 a*b a represents left and right side b represent top and bottom",Simple Border with Default Color:,magick input.jpg -border 10x10 output.jpg,Adds a 10-pixel wide border on all sides of the image using the default color (usually black). The image will have equal borders around it.,,
34,,Asymmetric Border:,magick input.jpg -border 20x5 output.jpg,"Adds a 20-pixel wide border to the left and right, and a 5-pixel wide border to the top and bottom. The result is a rectangular border with different dimensions.",,
35,,Thin Border:,magick input.jpg -border 1x1 output.jpg,"A thin 1-pixel border is applied around the image. This adds a very subtle outline around the image, barely noticeable but giving a fine edge.",,
36,,Large Uniform Border:,magick input.jpg -border 50x50 output.jpg,"A thick 50-pixel wide border is added uniformly around the image, creating a bold frame-like appearance.",,
37,,Tall Border with Narrow Width:,magick input.jpg -border 5x30 output.jpg,Adds a border that is 5 pixels wide on the left and right and 30 pixels tall on the top and bottom. This results in a vertically prominent border that elongates the image.,,
38,,Zero Border Width:,magick input.jpg -border 0x10 output.jpg,"Adds a 10-pixel border only to the top and bottom, with no border on the left and right sides. This creates a border effect that emphasizes the vertical edges of the image.",,
39,,Small Vertical Border:,magick input.jpg -border 0x5 output.jpg,"Adds a 5-pixel border to the top and bottom only, with no border on the left and right. This adds slight vertical padding to the image.",,
40,,Border with No Height (Horizontal Border Only):,magick input.jpg -border 15x0 output.jpg,"Adds a 15-pixel wide border on the left and right sides only, with no border at the top and bottom. This highlights the horizontal edges of the image.",,
41,-charcoal,Basic Charcoal Effect:,magick input.jpg -charcoal 1 output.jpg,"Applies a charcoal drawing effect with a radius and sigma of 1, creating a light sketch-like appearance with soft edges.",,
42,,Moderate Charcoal Effect:,magick input.jpg -charcoal 5 output.jpg,Applies a moderate charcoal effect with a radius and sigma of 5. This results in a stronger sketch effect with more pronounced lines and texture.,,
43,,Strong Charcoal Effect:,magick input.jpg -charcoal 10 output.jpg,"A strong charcoal effect is applied, turning the image into a highly textured sketch with heavy strokes, resembling a bold charcoal drawing.",,
44,,Subtle Charcoal Effect:,magick input.jpg -charcoal 0.5 output.jpg,"A very subtle charcoal effect, with fine lines and minimal texture. The image will retain much of its original detail but appear lightly sketched.",,
45,,Minimal Charcoal Effect:,magick input.jpg -charcoal 0.2 output.jpg,"Applies a barely noticeable charcoal effect with a radius of 0.2. The image will appear very slightly sketched, almost imperceptibly altering the original.",,
46,"/-chop
 x * y a represents left and right side b represent top and bottom",Simple Horizontal Chop:,magick input.jpg -chop 100x0 output.jpg,"Removes 100 pixels from the width of the image, effectively chopping off 100 pixels from the left or right side (depending on gravity settings), leaving the height unchanged.",,
47,,Simple Vertical Chop:,magick input.jpg -chop 0x100 output.jpg,"Removes 100 pixels from the height of the image, chopping off the top or bottom portion of the image, while leaving the width unchanged.",,
48,,Asymmetric Chop (Vertical and Horizontal):,magick input.jpg -chop 50x150 output.jpg,"Removes 50 pixels from the width and 150 pixels from the height of the image, cutting off both horizontally and vertically.",,
49,,Center Crop (Chop with Equal Sides):,magick input.jpg -chop 50x50 output.jpg,"Removes 50 pixels from both the width and height of the image, effectively trimming equal parts from all sides and creating a smaller, centered version of the image.",,
50,"/-clip
 .svg file format is also used here",Basic Clip Path:,magick input.jpg -clip output.jpg,"Applies the clipping path from the image's internal vector data. This will mask out areas outside the clipping path, leaving only the clipped region visible.",,
51,,Clip Inside the Path:,magick input.jpg -clip -negate output.jpg,"Applies a clip inside the specified path and inverts the selection, showing only the area inside the clipping path, and hiding everything outside.",,
52,,Clip with Automatic Path from Image Metadata:,magick input.jpg -clip output.jpg,Uses the clipping path stored in the image metadata (such as in a TIFF file) to define which part of the image is displayed. The rest of the image outside the path is discarded.,,
53,,Clip with Embedded Clipping Path (Vector Graphics):,magick input.svg -clip output.jpg,"Applies the clip based on vector data from an SVG file, showing only the area inside the vector-defined clipping path while removing the outside portions.",,
54,/-clip-path,Reapply Clip Path After Resetting:,magick input.jpg -clip -clip-path output.jpg,"Applies the clipping path, then resets it and reapplies the clipping based on the image's metadata, ensuring the clipping path is consistently enforced.",,
55,,Apply Clip Path by ID:,"magick input.svg -clip-path ""#path1"" output.jpg","Applies a specific clipping path identified by #path1 from an SVG file. Only the part of the image inside the path path1 will be visible, and the rest will be masked out.",,
56,,Multiple Clip Paths:,"magick input.svg -clip-path ""#path1"" -clip-path ""#path2"" output.jpg","Combines multiple clipping paths from the SVG file (#path1 and #path2), showing only the areas inside both paths and masking everything else.",,
57,,Clip Path Removal:,magick input.svg -clip-path none output.jpg,"Removes any applied clipping path, returning the image to its full size and visibility without any masked areas.",,
58,-clip-mask,Basic Clip Mask from Image:,magick input.jpg -clip-mask mask.png output.jpg,"Applies the specified mask (mask.png) to clip the image. Only the parts of the image corresponding to the white areas in the mask will be visible, while the rest is hidden.",,
59,,Clip Mask with Reset:,magick input.jpg -clip-mask mask.png -clip-mask none output.jpg,"Clips the image using the specified mask, then removes the mask, effectively applying the mask and then resetting the image's full visibility.",,
60,,Remove Existing Clip Mask:,magick input.jpg -clip-mask none output.jpg,"Removes any applied clip mask, returning the image to its full, unclipped state.",,
61,"/-colors
 takes only one value lower value takes toward black and white while higher value increases sharpness in image",Reduce Image to 16 Colors:,magick input.jpg -colors 16 output.jpg,"Reduces the number of colors in the image to 16, creating a simplified, posterized version with fewer shades. This can create a more abstract or ""flat"" look.",,
62,,Reduce to 256 Colors (Common for GIFs):,magick input.jpg -colors 256 output.gif,"Reduces the color palette of the image to 256 colors, which is commonly used in GIF images. The image will still retain most of its detail but with a limited color range.",,
63,,Reduce to 2 Colors (Black and White):,magick input.jpg -colors 2 output.jpg,"Converts the image into a black-and-white version by reducing the color palette to 2 colors. This gives the image a stark, high-contrast look.",,
64,,Reduce to 64 Colors:,magick input.jpg -colors 64 output.jpg,"Reduces the number of colors in the image to 64, producing a posterized effect that simplifies the image without making it entirely abstract.",,
65,,Reduce to 8 Colors (Highly Stylized):,magick input.jpg -colors 8 output.jpg,"Reduces the image to 8 distinct colors, creating a highly stylized, cartoonish effect. This is often used for creative or retro looks.",,
66,,Reduce to 128 Colors:,magick input.jpg -colors 128 output.jpg,"Reduces the image to 128 colors, which will still retain much of the original image detail but with a noticeable reduction in color gradients and smoothness.",,
67,,Reduce to 32 Colors:,magick input.jpg -colors 32 output.jpg,"Reduces the number of colors in the image to 32, resulting in a posterized appearance with obvious bands of color and reduced detail.",,
68,,Reduce to 4 Colors (Extreme Posterization):,magick input.jpg -colors 4 output.jpg,"Reduces the color palette to just 4 colors, creating an extreme posterization effect. The image will have a very abstract, almost comic-book style.",,
69,,Set Colors to 1 (Monochrome):,magick input.jpg -colors 1 output.jpg,"Converts the image into a monochrome version, resulting in an entirely black image or white image depending on the dominant color in the input image.",,
70,,Reduce to 512 Colors:,magick input.jpg -colors 512 output.jpg,Reduces the image to 512 colors. This preserves much of the image’s detail and gradient but will slightly reduce color depth and smoothness.,,
71,"/-colorize
 RGB- red blue green
 minimum 0
 maximum 0",Basic Red Colorize:,"magick input.jpg -colorize 100,0,0 output.jpg","Applies a full red overlay to the image, turning it into shades of red while preserving underlying details.",,
72,,Full Blue Colorize:,"magick input.jpg -colorize 0,0,100 output.jpg","Adds a blue overlay across the entire image, giving it a blue-toned effect.",,
73,,Green Tint (Partial):,"magick input.jpg -colorize 0,50,0 output.jpg","Tints the image with a 50% green overlay, blending green with the original colors without overpowering them.",,
74,,Yellow Tone (Combined Red and Green):,"magick input.jpg -colorize 50,50,0 output.jpg",Creates a yellow-toned image by combining equal parts of red and green overlay at 50% intensity.,,
75,"/-colorspace 
 -colorspace value",Convert to CMY Colorspace:,magick input.jpg -colorspace CMY output.jpg,"Converts the image to the CMY (Cyan, Magenta, Yellow) colorspace, often used in printing where these three colors are combined to create various hues.",,
76,,Convert to HCL Colorspace:,magick input.jpg -colorspace HCL output.jpg,"Output: Changes the image to HCL (Hue, Chroma, Luminance) colorspace, which is perceptually uniform and useful for certain color adjustments.",,
77,,Convert to HCLp Colorspace:,magick input.jpg -colorspace HCLp output.jpg,"Output: Applies a perceptually uniform HCLp colorspace, similar to HCL but better suited for smooth color transitions.",,
78,,Convert to HSI Colorspace:,magick input.jpg -colorspace HSI output.jpg,"Output: Changes the image to HSI (Hue, Saturation, Intensity), often used for easier color manipulation based on intensity.",,
79,,Convert to HSV Colorspace:,magick input.jpg -colorspace HSV output.jpg,"Output: Converts the image to HSV colorspace (Hue, Saturation, Value), often used in digital graphics for color adjustments.",,
80,,Convert to Jzazbz Colorspace:,magick input.jpg -colorspace Jzazbz output.jpg,"Output: Changes the image to Jzazbz colorspace, a perceptually uniform model used for high-dynamic-range image editing.",,
81,,Convert to LCHab Colorspace:,magick input.jpg -colorspace LCHab output.jpg,"Output: Converts the image to LCHab, which separates color into lightness, chroma, and hue using the LAB model’s components.",,
82,,Convert to LCHuv Colorspace:,magick input.jpg -colorspace LCHuv output.jpg,"Output: Converts the image to LCHuv colorspace, similar to LCHab but based on the Luv model, for consistent color adjustments.",,
83,,Convert to LMS Colorspace:,magick input.jpg -colorspace LMS output.jpg,"Output: Changes the image to LMS colorspace, based on human eye sensitivity to wavelengths.",,
84,,Convert to Log Colorspace:,magick input.jpg -colorspace Log output.jpg,"Output: Converts the image to Log colorspace, useful in image processing for a logarithmic representation of colors.",,
85,,Convert to OHTA Colorspace:,magick input.jpg -colorspace OHTA output.jpg,"Output: Converts the image to OHTA colorspace, which is a variation of LAB, designed for color consistency in video applications.",,
86,,Convert to OkLab Colorspace:,magick input.jpg -colorspace OkLab output.jpg,"Output: Changes the image to OkLab, a perceptually uniform colorspace gaining popularity for its accuracy in color grading.",,
87,,Convert to OkLCH Colorspace:,magick input.jpg -colorspace OkLCH output.jpg,"Output: Converts the image to OkLCH, a hue, lightness, and chroma model based on OkLab for smooth color grading.",,
88,,Convert to Rec601YCbCr Colorspace:,magick input.jpg -colorspace Rec601YCbCr output.jpg,"Output: Converts the image to Rec601YCbCr colorspace, used for standard-definition video with separated brightness and color data.",,
89,,Convert to Rec709YCbCr Colorspace:,magick input.jpg -colorspace Rec709YCbCr output.jpg,"Output: Converts the image to Rec709YCbCr, used in high-definition video formats with improved color fidelity.",,
90,,Convert to scRGB Colorspace:,magick input.jpg -colorspace scRGB output.jpg,"Output: Converts the image to scRGB, which supports a wider gamut than sRGB and allows negative values for HDR images.",,
91,,Convert to Transparent Colorspace:,magick input.jpg -colorspace Transparent output.jpg,"Output: Converts the image to Transparent colorspace, often used for images where transparency handling is critical.",,
92,,Convert to xyY Colorspace:,magick input.jpg -colorspace xyY output.jpg,"Output: Changes the image to xyY colorspace, which isolates luminance information from chromaticity.",,
93,,Convert to YCC Colorspace:,magick input.jpg -colorspace YCC output.jpg,"Output: Converts the image to YCC colorspace, used in video compression with separated color channels.",,
94,,Convert to YDbDr Colorspace:,magick input.jpg -colorspace YDbDr output.jpg,"Output: Converts the image to YDbDr, often used in the PAL broadcast standard.",,
95,,Convert to YIQ Colorspace:,magick input.jpg -colorspace YIQ output.jpg,"Output: Converts the image to YIQ colorspace, used in NTSC color television for color separation.",,
96,,Convert to YPbPr Colorspace:,magick input.jpg -colorspace YPbPr output.jpg,"Output: Converts the image to YPbPr colorspace, commonly used in analog television signals.",,
97,,Convert to Undefined Colorspace:,magick input.jpg -colorspace Undefined output.jpg,"Output: Leaves the colorspace undefined, potentially used when the colorspace should inherit the input image’s colorspace by default.",,
98,,Convert to HSL Colorspace:,magick input.jpg -colorspace HSL output.jpg,"Output: Converts the image to the HSL colorspace (Hue, Saturation, Lightness), useful for manipulating color and lightness independently.",,
99,,Convert to HSB Colorspace:,magick input.jpg -colorspace HSB output.jpg,"Output: Converts the image to HSB (Hue, Saturation, Brightness), helpful in graphics applications for brightness-based color adjustments.",,
100,,Convert to RGB Colorspace:,magick input.jpg -colorspace RGB output.jpg,"Output: Converts the image to RGB, the most common colorspace for digital screens, using red, green, and blue channels.",,
101,,Convert to sRGB Colorspace:,magick input.jpg -colorspace sRGB output.jpg,"Output: Converts the image to sRGB colorspace, standard for web and digital images, ensuring consistent colors across devices.",,
102,,Convert to Lab Colorspace:,magick input.jpg -colorspace Lab output.jpg,"Output: Changes the image to Lab colorspace (Lightness and color-opponent dimensions), useful for adjusting color independently of brightness.",,
103,,"Convert to LMS Colorspace (Long, Medium, Short wavelengths):",magick input.jpg -colorspace LMS output.jpg,"Output: Converts the image to LMS colorspace, based on the human eye's sensitivity to light wavelengths.",,
104,,Convert to YUV Colorspace:,magick input.jpg -colorspace YUV output.jpg,"Output: Converts the image to YUV, widely used in video processing, where Y represents brightness and U/V represent color.",,
105,,Convert to YCbCr Colorspace:,magick input.jpg -colorspace YCbCr output.jpg,"Output: Converts the image to YCbCr, used in video compression where Y is luminance, and Cb and Cr represent color components.",,
106,"/-color-threshold
 RGB- red green blue
 0-255",Basic Color Threshold - Red Range:,"magick input.jpg -color-threshold ""rgb(255,0,0)-rgb(255,50,50)"" output.jpg",Output: Only colors within the specified red range are retained; all others are turned to white.,,
107,,Basic Color Threshold - Green Range:,"magick input.jpg -color-threshold ""rgb(0,255,0)-rgb(50,255,50)"" output.jpg","Output: Retains colors within the specified green range, changing other pixels to white.",,
108,,Basic Color Threshold - Blue Range:,"magick input.jpg -color-threshold ""rgb(0,0,255)-rgb(50,50,255)"" output.jpg","Output: Keeps colors within the specified blue range, converting other colors to white.",,
109,,Threshold for Mid-Range Grays:,"magick input.jpg -color-threshold ""rgb(128,128,128)-rgb(150,150,150)"" output.jpg","Output: Retains mid-gray tones, converting other colors to black.",,
110,"/-compose
 The -compose option sets the composition method used when combining two images, with each method blending or overlaying images in a unique way.
 Take the first image 'destination' and overlay the second 'source' image according to the current -compose setting.",Compose with Multiply:,magick input.jpg overlay.jpg -compose Multiply -composite output.jpg,"Output: Multiplies the colors of the overlay and base image, darkening the resulting image.",,
111,,Compose with Screen:,magick input.jpg overlay.jpg -compose Screen -composite output.jpg,"Output: Combines images by lightening the base image with the overlay, resulting in a brighter effect.",,
112,,Compose with Overlay:,magick input.jpg overlay.jpg -compose Overlay -composite output.jpg,"Output: Darkens or lightens the image depending on overlay colors, enhancing midtones and contrast.",,
113,,Compose with Darken:,magick input.jpg overlay.jpg -compose Darken -composite output.jpg,"Output: Keeps only the darker pixel from each image, making the resulting image darker.",,
114,,Compose with Lighten:,magick input.jpg overlay.jpg -compose Lighten -composite output.jpg,"Output: Keeps only the lighter pixel from each image, resulting in a lighter overall image.",,
115,,Compose with Difference:,magick input.jpg overlay.jpg -compose Difference -composite output.jpg,"Output: Shows the difference between each pixel, producing a high-contrast, unique effect.",,
116,,Compose with Add:,magick input.jpg overlay.jpg -compose Add -composite output.jpg,"Output: Adds pixel values together, increasing brightness and intensity.",,
117,,Compose with Subtract:,magick input.jpg overlay.jpg -compose Subtract -composite output.jpg,"Output: Subtracts pixel values, which darkens the image depending on the overlay.",,
118,,Compose with Divide:,magick input.jpg overlay.jpg -compose Divide -composite output.jpg,"Output: Divides the base image by the overlay, creating unique brightness and contrast effects.",,
119,,Compose with Exclusion:,magick input.jpg overlay.jpg -compose Exclusion -composite output.jpg,Output: Creates an inverse blend for a more subtle version of the Difference composition.,,
120,,Compose with Hard Light:,magick input.jpg overlay.jpg -compose HardLight -composite output.jpg,"Output: Uses multiply or screen depending on overlay brightness, adding intense contrast.",,
121,,Compose with Soft Light:,magick input.jpg overlay.jpg -compose SoftLight -composite output.jpg,"Output: Darkens or lightens the base depending on the overlay, resulting in a softer, more natural look.",,
122,,Compose with Color Dodge:,magick input.jpg overlay.jpg -compose ColorDodge -composite output.jpg,"Output: Brightens the base image based on overlay colors, increasing highlights.",,
123,,Compose with Color Burn:,magick input.jpg overlay.jpg -compose ColorBurn -composite output.jpg,"Output: Darkens the base image based on overlay colors, enhancing shadows.",,
124,,Compose with Linear Dodge (Additive):,magick input.jpg overlay.jpg -compose LinearDodge -composite output.jpg,"Output: Adds images in a linear way, useful for high-brightness effects.",,
125,,Compose with Linear Burn:,magick input.jpg overlay.jpg -compose LinearBurn -composite output.jpg,"Output: Darkens by subtracting base from overlay, producing a deep, intense blend.",,
126,,Compose with Vivid Light:,magick input.jpg overlay.jpg -compose VividLight -composite output.jpg,"Output: Produces intense contrast, either darkening or brightening depending on the overlay.",,
127,,Compose with Pin Light:,magick input.jpg overlay.jpg -compose PinLight -composite output.jpg,"Output: Replaces colors in the base image with those from the overlay in a pin-pointed way, creating bold edges.",,
128,,Compose with Linear Light:,magick input.jpg overlay.jpg -compose LinearLight -composite output.jpg,"Output: Adjusts brightness based on overlay, creating a high-contrast, linear effect.",,
129,,Compose with Hard Mix:,magick input.jpg overlay.jpg -compose HardMix -composite output.jpg,"Output: Drastically blends colors, reducing them to black, white, and primary colors.",,
130,,Compose with Luminize:,magick input.jpg overlay.jpg -compose Luminize -composite output.jpg,Output: Combines images by transferring the luminance from the overlay to the base image.,,
131,,Compose with Plus:,magick input.jpg overlay.jpg -compose Plus -composite output.jpg,"Output: Adds pixel values, increasing brightness with a glowing effect.",,
132,,Compose with Minus:,magick input.jpg overlay.jpg -compose Minus -composite output.jpg,"Output: Subtracts overlay pixels from the base, creating a darker result.",,
133,,Compose with Xor:,magick input.jpg overlay.jpg -compose Xor -composite output.jpg,"Output: Combines the images with a binary XOR operation, creating a unique blend with each differing pixel.",,
134,,Compose with Atop:,magick input.jpg overlay.jpg -compose Atop -composite output.jpg,Output: Places overlay image atop the base image where pixels overlap.,,
135,,Compose with Over:,magick input.jpg overlay.jpg -compose Over -composite output.jpg,"Output: Places the overlay image over the base image, making the overlay the primary image.",,
136,,Compose with In:,magick input.jpg overlay.jpg -compose In -composite output.jpg,"Output: Uses the overlay to mask parts of the base image, creating transparency.",,
137,,Compose with Out:,magick input.jpg overlay.jpg -compose Out -composite output.jpg,"Output: Keeps only parts of the base image not covered by the overlay, effectively cutting out the overlap.",,
138,,Compose with Clear:,magick input.jpg overlay.jpg -compose Clear -composite output.jpg,"Output: Removes the pixels from the overlap area, creating a clear or transparent result.",,
139,,Compose with DstIn:,magick input.jpg overlay.jpg -compose DstIn -composite output.jpg,"Output: Uses overlay to mask the destination, retaining only the intersection.",,
140,,Compose with Copy Opacity:,magick input.jpg overlay.jpg -compose CopyOpacity -composite output.jpg,Output: Transfers the overlay image's opacity onto the base image for blending transparency.,,
141,"/-contrast
 Increase the contrast in an image by stretching the range of intensity values.
 - indicates increase
 + indicates decrease",Increase Contrast by One Level:,magick input.jpg -contrast output.jpg,"Output: Increases the contrast of the image by one level, making colors more vivid.",,
142,,Decrease Contrast by One Level:,magick input.jpg +contrast output.jpg,"Output: Decreases the contrast of the image by one level, making colors more muted.",,
143,,Increase Contrast Repeatedly:,magick input.jpg -contrast -contrast -contrast output.jpg,"Output: Applies multiple levels of increased contrast, significantly boosting vividness and depth in colors.",,
144,,Decrease Contrast Repeatedly:,magick input.jpg +contrast +contrast +contrast output.jpg,"Output: Applies multiple levels of decreased contrast, creating a very softened and muted effect.",,
145,,"Mixed Contrast Adjustments (Increase, then Decrease):",magick input.jpg -contrast +contrast output.jpg,"Output: Increases and then decreases contrast, resulting in a slight change as each effect partly offsets the other.",,
146,,Extreme Increase and Decrease Contrast (Alternating):,magick input.jpg -contrast -contrast +contrast +contrast output.jpg,"Output: Applies alternating contrast changes, enhancing the contrast and then softening it for a balanced effect with some enhanced details.",,
147,,Maximal Contrast Increase:,magick input.jpg -contrast -contrast -contrast -contrast -contrast output.jpg,"Output: Applies a maximum of five contrast-increasing levels, making colors intensely vivid and details sharper.",,
148,,Maximal Contrast Decrease:,magick input.jpg +contrast +contrast +contrast +contrast +contrast output.jpg,"1. Output: Applies a maximum of five contrast-decreasing levels, creating a very soft and pastel-like effect by muting colors and reducing sharpness.",,
149,"/-convolve
 apply a variety of effects, from blurring and sharpening to edge detection and creative distortions, allowing versatile transformations based on kernel matrices
 should be in form of 3 5 7 square",Apply a Basic Blur Convolution:,"magick input.jpg -convolve 1,1,1,1,1,1,1,1,1 output.jpg","Output: Applies a 3x3 kernel of 1s, creating a mild blur across the image.",,
150,,Edge Detection Kernel:,"magick input.jpg -convolve -1,-1,-1,-1,8,-1,-1,-1,-1 output.jpg",Output: Detects edges in the image by enhancing boundaries and creating a high-contrast outline effect.,,
151,,Sharpening Kernel:,"magick input.jpg -convolve 0,-1,0,-1,5,-1,0,-1,0 output.jpg","Output: Sharpens the image by enhancing edges, adding more definition to details.",,
152,,Gaussian Blur Kernel:,"magick input.jpg -convolve 1,2,1,2,4,2,1,2,1 output.jpg","Output: Applies a Gaussian blur, creating a softer, out-of-focus look.",,
153,,Embossing Kernel:,"magick input.jpg -convolve -2,-1,0,-1,1,1,0,1,2 output.jpg","Output: Adds an embossed effect, creating a three-dimensional relief impression on the image.",,
154,,Custom Vertical Edge Detection:,"magick input.jpg -convolve -1,0,1,-2,0,2,-1,0,1 output.jpg","Output: Detects vertical edges, emphasizing vertical lines and boundaries in the image.",,
155,,Custom Horizontal Edge Detection:,"magick input.jpg -convolve -1,-2,-1,0,0,0,1,2,1 output.jpg","Output: Detects horizontal edges, emphasizing horizontal lines and boundaries.",,
156,,Laplacian Filter for Edge Detection:,"magick input.jpg -convolve 0,1,0,1,-4,1,0,1,0 output.jpg","Output: Applies a Laplacian filter to detect edges, resulting in a high-contrast edge-detected image.",,
157,,Light Edge Enhancement:,"magick input.jpg -convolve 0,-0.5,0,-0.5,3,-0.5,0,-0.5,0 output.jpg","Output: Enhances edges with less intensity, adding subtle contrast to lines and details.",,
158,,Diagonal Edge Detection:,"magick input.jpg -convolve 2,-1,0,-1,0,1,0,1,2 output.jpg","Output: Detects edges along diagonal directions, emphasizing diagonal lines within the image.",,
159,,Sobel Edge Detection (Approximation):,"magick input.jpg -convolve -1,0,1,-2,0,2,-1,0,1 output.jpg","Output: Applies a Sobel filter for edge detection, enhancing both horizontal and vertical edges in the image.",,
160,,Box Blur Kernel:,"magick input.jpg -convolve 1,1,1,1,1,1,1,1,1 output.jpg","Output: Applies an averaging or box blur across a 3x3 area, softening the image uniformly.",,
161,,Motion Blur (Horizontal):,"magick input.jpg -convolve 1,1,1,0,0,0,-1,-1,-1 output.jpg","Output: Creates a motion blur effect along the horizontal axis, simulating movement across the image.",,
