"sno","repo_name","repo_url","description","stars","language","last_updated","scraped_at","has_features","feature_count","feature_info","is_accessible","accessibility_info","validated_at","id","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","hasWiki","isArchived","isDisabled","isLocked","languages","topics"
"15","hmcts/ia-ccd-e2e-tests","https://github.com/hmcts/ia-ccd-e2e-tests","Immigration & Asylum CCD E2E tests","3","Gherkin","2026-04-02T15:34:06Z","2026-04-06T15:26:20.708900","true","298","298 .feature files found","true","OK","2026-04-10T08:08:31Z","153487128","false","607","67","0","1","Gherkin","master","","","3","3","39","142630","2018-10-17T16:14:38Z","2026-04-08T04:01:14Z","2026-04-02T15:34:13Z","1","1","781","0","true","false","false","false","","jenkins-cft,jenkins-cft-d-i"
"16","SoftEng-UniGE/BEWT-Specifications","https://github.com/SoftEng-UniGE/BEWT-Specifications","BEWT-Specifications","2","Gherkin","2025-06-17T15:21:05Z","2026-04-06T15:26:23.948922","true","284","284 .feature files found","true","OK","2026-04-10T08:15:36Z","787415085","false","33","1","0","1","Gherkin","main","","","2","2","3","288","2024-04-16T13:32:21Z","2025-06-17T15:21:05Z","2025-09-11T14:29:35Z","0","0","2","0","true","false","false","false","",""
"17","actiontech/dble-test-suite","https://github.com/actiontech/dble-test-suite","N/A","13","Gherkin","2025-01-06T07:57:37Z","2026-04-06T15:26:13.132345","true","264","264 .feature files found","true","OK","2026-04-10T07:49:41Z","187192603","false","3180","72","0","2","Gherkin","master","Mozilla Public License 2.0","","13","13","17","50660","2019-05-17T09:58:12Z","2025-01-06T07:57:37Z","2025-01-06T03:09:02Z","7","7","601","7","true","false","false","false","",""
"18","openshift/verification-tests","https://github.com/openshift/verification-tests","Blackbox test suite for OpenShift.","60","Gherkin","2026-04-02T08:33:59Z","2026-04-06T15:26:09.532492","true","235","235 .feature files found","true","OK","2026-04-10T07:41:14Z","151291406","false","4385","3","0","174","Gherkin","main","GNU General Public License v3.0","","60","60","113","63491","2018-10-02T17:01:04Z","2026-04-08T09:24:42Z","2026-04-08T06:44:27Z","1","1","3909","0","false","false","false","false","","cloud,cucumber,iaas,openshift,ruby,test-automation,tests"
"19","saqibrizvi11/SH2_contactMaps","https://github.com/saqibrizvi11/SH2_contactMaps","N/A","1","Gherkin","2021-03-17T21:11:15Z","2026-04-06T15:26:33.678978","true","232","232 .feature files found","true","OK","2026-04-10T08:43:39Z","348852879","false","1","1","0","0","Gherkin","master","","","1","1","0","115112","2021-03-17T21:09:43Z","2021-03-17T21:11:15Z","2021-09-12T21:51:15Z","0","0","0","0","true","false","false","false","",""
"20","Corvusoft/restq","https://github.com/Corvusoft/restq","Corvusoft's RestQ framework provides an open HTTP API for technology agnostic and language neutral message broking services.","21","Gherkin","2023-08-20T04:45:48Z","2026-04-06T15:26:09.532675","true","229","229 .feature files found","true","OK","2026-04-10T07:45:30Z","52054850","false","341","1","0","3","Cucumber","master","Other","","21","21","0","668","2016-02-19T02:17:45Z","2023-08-20T04:45:48Z","2023-10-17T20:41:54Z","24","24","0","0","false","false","false","false","",""
"21","opencypher/openCypher","https://github.com/opencypher/openCypher","Specification of the Cypher property graph query language","984","Gherkin","2026-03-20T10:24:14Z","2026-04-06T15:26:09.532303","true","220","220 .feature files found","true","OK","2026-04-10T07:37:10Z","30405191","false","10","3","18","157","Gherkin","main","Apache License 2.0","http://www.opencypher.org","984","984","0","9400","2015-02-06T09:35:42Z","2026-03-20T10:24:14Z","2026-03-30T04:19:27Z","59","59","413","18","false","false","false","false","","cypher,database,declarative,grammar,graph,language,property,query,specification,standard,tck"
"22","keygen-sh/keygen-api","https://github.com/keygen-sh/keygen-api","Keygen is a modern, fair source software licensing and distribution API. For developers, by developers.","1386","Gherkin","2026-04-06T03:29:33Z","2026-04-06T15:26:09.532293","true","218","218 .feature files found","true","OK","2026-04-10T07:36:59Z","55925153","false","5436","332","4","112","Gherkin","master","Other","https://keygen.sh","1391","1391","9","86212","2016-04-10T22:10:48Z","2026-04-09T18:38:56Z","2026-04-10T05:55:31Z","201","201","365","7","true","false","false","false","","api,fair-source,license-keys,rails,rails-api,ruby,ruby-on-rails,software-distribution,software-licensing,source-available"
"23","bdewey/git-stack","https://github.com/bdewey/git-stack","Git extension to simplify working with ""stacked"" pull requests on Github. Based on git-town","2","Gherkin","2019-10-14T13:36:07Z","2026-04-06T15:26:23.948960","true","205","205 .feature files found","true","OK","2026-04-10T08:16:28Z","211349161","false","871","7","0","0","Gherkin","master","MIT License","","2","2","25","22084","2019-09-27T15:27:14Z","2019-10-14T13:36:07Z","2021-04-08T11:32:12Z","0","0","4","0","true","false","false","false","",""
"24","bcgov/onRouteBCSpecification","https://github.com/bcgov/onRouteBCSpecification","onRouteBC Specifications","2","Gherkin","2026-04-01T23:01:19Z","2026-04-06T15:26:27.107116","true","198","198 .feature files found","true","OK","2026-04-10T08:22:07Z","614997966","false","795","4","0","0","Gherkin","main","","","2","2","5","1618","2023-03-16T18:36:09Z","2026-04-08T00:46:10Z","2026-04-08T00:46:14Z","5","5","3","2","true","false","false","false","",""
"25","unity-sds/unity-system-test","https://github.com/unity-sds/unity-system-test","System Test area of the Unity Repository","1","Gherkin","2024-07-23T19:53:26Z","2026-04-06T15:26:30.391392","true","198","198 .feature files found","true","OK","2026-04-10T08:34:16Z","469922086","false","69","2","3","2","Gherkin","main","Apache License 2.0","","1","1","2","112","2022-03-14T22:18:02Z","2024-07-23T19:53:26Z","2024-07-08T20:58:16Z","4","4","14","0","true","false","false","false","",""
"26","axonops/axonops-schema-registry","https://github.com/axonops/axonops-schema-registry","High-performance, API-compatible drop-in replacement for Confluent Schema Registry. Avro, Protobuf & JSON Schema with PostgreSQL, MySQL, Cassandra storage. Built-in RBAC, client side field encryption, data contracts, audit logging. No Kafka dependency. Apache 2.0.","5","Gherkin","2026-03-23T08:22:16Z","2026-04-06T15:26:16.895706","true","197","197 .feature files found","true","OK","2026-04-10T08:00:04Z","1120665774","false","104","4","13","1","Gherkin","main","Apache License 2.0","https://axonops.com","5","5","3","13531","2025-12-21T17:35:11Z","2026-04-07T15:23:07Z","2026-04-07T15:24:08Z","46","46","14","0","false","false","false","false","","apache-kafka,avro,axonops,cassandra,csfle,data-contracts,data-governance,encryption,golang,json-schema,kafka,mysql,postgresql,protobuf,rbac,schema-management,schema-registry"
"27","hpi-schul-cloud/e2e-system-tests","https://github.com/hpi-schul-cloud/e2e-system-tests","Schulcloud-Verbund-Software End-to-End Test Framework","4","Gherkin","2026-04-02T14:00:18Z","2026-04-06T15:26:20.708609","true","168","168 .feature files found","true","OK","2026-04-10T08:02:24Z","479327949","false","1651","60","0","1","Gherkin","main","GNU Affero General Public License v3.0","","4","4","40","18375","2022-04-08T09:30:12Z","2026-04-10T06:47:25Z","2026-04-10T06:47:28Z","13","13","518","13","false","false","false","false","","cucumber,cypress,e2e-testing,svs-app"
"28","srbarrios/uyuni-cucumber-playwright","https://github.com/srbarrios/uyuni-cucumber-playwright","This PoC aims to replace our current stack for web interactions, migrating from Capybara+Selenium to Playwright. It also implies a change of programming language from Ruby to Typescript, and so our test runner will be CucumberJS.","2","Gherkin","2026-03-22T19:04:25Z","2026-04-06T15:26:23.948863","true","155","155 .feature files found","true","OK","2026-04-10T08:14:22Z","1061247309","false","60","1","0","1","Gherkin","main","","https://hackweek.opensuse.org/25/projects/move-uyuni-test-framework-from-selenium-to-playwright","2","2","0","803","2025-09-21T14:41:17Z","2026-03-22T19:04:25Z","2026-03-22T19:04:29Z","0","0","2","0","true","false","false","false","","cucumber-js,playwright,uyuni"
"29","david-peralta/com.MB.OnlineWills-master","https://github.com/david-peralta/com.MB.OnlineWills-master","N/A","1","Gherkin","2020-10-13T18:19:16Z","2026-04-06T15:26:27.107355","true","149","149 .feature files found","true","OK","2026-04-10T08:27:17Z","228957618","false","106","3","0","0","Gherkin","dim-test","","","1","1","2","1097","2019-12-19T02:19:02Z","2020-10-13T18:19:16Z","2020-02-17T01:24:16Z","1","1","0","1","true","false","false","false","",""
"30","yhraichonak/afast-java","https://github.com/yhraichonak/afast-java","N/A","1","Gherkin","2026-03-25T12:13:35Z","2026-04-06T15:26:30.391111","true","137","137 .feature files found","true","OK","2026-04-10T08:28:21Z","1191566528","false","1","1","0","0","Gherkin","main","","","1","1","0","3261","2026-03-25T11:22:34Z","2026-03-25T12:13:35Z","2026-03-25T14:24:31Z","0","0","0","0","true","false","false","false","",""
"31","domwills/WebDriverWaitExtensions","https://github.com/domwills/WebDriverWaitExtensions","This package provides helpful wait conditions that give meaningful exceptions.","1","Gherkin","2024-10-02T11:05:33Z","2026-04-06T15:26:40.383866","true","128","128 .feature files found","true","OK","2026-04-10T08:57:32Z","234794843","false","6","1","0","0","Gherkin","main","","","1","1","0","70","2020-01-18T20:39:06Z","2024-10-02T11:05:33Z","2024-10-02T11:05:33Z","0","0","3","0","true","false","false","false","",""
"32","TheGazette/test-automation","https://github.com/TheGazette/test-automation","Artifacts from test automation suite","2","Gherkin","2019-02-12T11:56:07Z","2026-04-06T15:26:23.948904","true","127","127 .feature files found","true","OK","2026-04-10T08:15:16Z","170110009","false","2","1","0","0","Gherkin","master","","","2","2","0","124","2019-02-11T10:29:25Z","2019-02-12T11:56:07Z","2024-08-17T04:19:48Z","0","0","0","0","true","false","false","false","",""
"33","pumbaEO/vanessa-behavior-tets","https://github.com/pumbaEO/vanessa-behavior-tets","N/A","3","Gherkin","2016-07-24T11:25:19Z","2026-04-06T15:26:20.708955","true","121","121 .feature files found","true","OK","2026-04-10T08:09:49Z","62006713","false","27","1","0","5","Cucumber","master","","","3","3","2","1222","2016-06-26T20:19:49Z","2016-07-24T11:25:19Z","2018-01-23T11:59:15Z","0","0","3","0","true","false","false","false","",""
"34","RedHatInsights/insights-behavioral-spec","https://github.com/RedHatInsights/insights-behavioral-spec","Behavioral specifications for Insights pipelines and its integration into OCM, OCP, and ACM","3","Gherkin","2026-03-27T14:49:00Z","2026-04-06T15:26:20.708865","true","113","113 .feature files found","true","OK","2026-04-10T08:07:46Z","350609022","false","2213","19","0","16","Gherkin","main","Apache License 2.0","","3","3","16","3039","2021-03-23T06:52:32Z","2026-03-27T14:49:00Z","2026-03-27T14:49:05Z","22","22","662","0","true","false","false","false","",""
"35","NCIOCPL/cgov-digital-platform-acceptance-tests","https://github.com/NCIOCPL/cgov-digital-platform-acceptance-tests","Behavioral Tests for Cgov Digital Platform","1","Gherkin","2026-04-02T18:59:27Z","2026-04-06T15:26:40.383976","true","110","110 .feature files found","true","OK","2026-04-10T08:59:36Z","242768057","false","468","60","0","6","Gherkin","master","","","1","1","7","1678194","2020-02-24T15:13:08Z","2026-04-09T16:48:32Z","2026-03-25T20:15:19Z","27","27","453","3","true","false","false","false","",""
"36","PavelVir/BI_GIT","https://github.com/PavelVir/BI_GIT","N/A","2","Gherkin","2020-04-02T10:32:01Z","2026-04-06T15:26:23.949078","true","109","109 .feature files found","true","OK","2026-04-10T08:19:10Z","140280909","false","197","2","0","0","Gherkin","develop","","","2","2","0","7691","2018-07-09T12:16:58Z","2020-04-02T10:32:01Z","2020-04-02T10:32:05Z","0","0","2","0","true","false","false","false","",""
"37","1C-CPM/VA-Tests-UH33","https://github.com/1C-CPM/VA-Tests-UH33","Сценарные тесты для конфигурации 1С:Управление Холдингом","11","Gherkin","2026-04-03T10:28:10Z","2026-04-06T15:26:13.132372","true","104","104 .feature files found","true","OK","2026-04-10T07:50:18Z","900781953","false","394","1","0","1","Gherkin","main","","","11","11","8","2765","2024-12-09T13:13:32Z","2026-04-10T06:53:41Z","2026-04-10T06:53:45Z","0","0","0","0","true","false","false","false","",""
"38","ambtus/mobile-pages","https://github.com/ambtus/mobile-pages","Create a personal archive of pages saved from the web, or uploaded, to read on your mobile device","2","Gherkin","2026-02-16T20:54:24Z","2026-04-06T15:26:27.107225","true","104","104 .feature files found","true","OK","2026-04-10T08:24:27Z","186370","false","1026","1","0","0","Gherkin","master","MIT License","","2","2","2","2977","2009-04-27T01:59:02Z","2026-02-16T20:54:24Z","2026-02-16T20:54:29Z","6","6","24","0","false","false","false","false","",""
"39","1C-CPM/VA-Tests-UH32","https://github.com/1C-CPM/VA-Tests-UH32","Сценарные тесты для конфигурации 1С:Управление Холдингом","9","Gherkin","2026-03-23T07:18:58Z","2026-04-06T15:26:13.132470","true","96","96 .feature files found","true","OK","2026-04-10T07:52:23Z","788993768","false","551","1","0","2","Gherkin","main","","","9","9","10","2861","2024-04-19T13:48:49Z","2026-03-23T07:18:58Z","2026-03-23T07:19:01Z","1","1","3","1","true","false","false","false","",""
"40","owncloud/password_policy","https://github.com/owncloud/password_policy","🛡️ Define password policies for user and public link passwords","6","Gherkin","2026-03-12T10:10:21Z","2026-04-06T15:26:16.895611","true","94","94 .feature files found","true","OK","2026-04-10T07:57:52Z","118499166","false","696","16","18","4","Gherkin","master","GNU General Public License v2.0","","6","6","39","1374","2018-01-22T18:42:47Z","2026-04-09T16:10:43Z","2026-04-09T16:10:52Z","0","0","297","0","false","false","false","false","","owncloud-app"
"41","darakeon/dfm","https://github.com/darakeon/dfm","Source code of Don't fly Money","17","Gherkin","2026-04-05T16:04:11Z","2026-04-06T15:26:13.132260","true","92","92 .feature files found","true","OK","2026-04-10T07:47:38Z","102420530","false","5349","20","0","0","Gherkin","main","GNU General Public License v3.0","https://dontflymoney.com","17","17","3","54381","2017-09-05T01:50:00Z","2026-04-08T15:34:25Z","2026-01-04T14:48:50Z","14","14","1750","14","false","false","false","false","","android,bootstrap,circleci,csharp,css,docker,dockerfile,gherkin,html,javascript,jest,kotlin,money,money-manager,mysql,netcore,nodejs,puppeteer,rust,sqlite3"
"42","Vanguard-oss/behave-asl","https://github.com/Vanguard-oss/behave-asl","Cucumber-style testing of AWS Step Functions","14","Gherkin","2025-01-15T15:51:09Z","2026-04-06T15:26:13.132317","true","92","92 .feature files found","true","OK","2026-04-10T07:49:01Z","488306646","false","284","1","0","0","Gherkin","master","Apache License 2.0","","14","14","3","373","2022-05-03T17:41:38Z","2025-01-15T15:51:09Z","2025-01-15T15:51:13Z","0","0","0","0","true","false","false","false","",""
"43","NHSDigital/personal-demographics-service-api","https://github.com/NHSDigital/personal-demographics-service-api","Specifications for NHS Digital APIs provided on the API Management Platform","27","Gherkin","2026-04-02T15:06:33Z","2026-04-06T15:26:09.532639","true","86","86 .feature files found","true","OK","2026-04-10T07:44:38Z","234322362","false","6276","368","837","16","Gherkin","master","Other","","27","27","63","9485","2020-01-16T13:09:16Z","2026-04-09T14:18:35Z","2026-04-09T14:19:58Z","20","20","1260","19","true","false","false","false","","openapi,swagger"
"44","USEPA/ccte-api-karate","https://github.com/USEPA/ccte-api-karate","N/A","1","Gherkin","2025-12-31T14:37:38Z","2026-04-06T15:26:33.678705","true","84","84 .feature files found","true","OK","2026-04-10T08:38:15Z","730813001","false","1323","6","0","1","Gherkin","dev","","","1","1","6","108056","2023-12-12T18:18:43Z","2025-12-31T14:37:38Z","2025-12-31T14:37:42Z","2","2","53","0","true","false","false","false","",""
"45","1C-CPM/VA-Tests-ERPUH32","https://github.com/1C-CPM/VA-Tests-ERPUH32","Сценарии автоматизированного тестирования для конфигурации 1С:ERP.Управление холдингом 3.2","9","Gherkin","2026-03-18T07:15:43Z","2026-04-06T15:26:13.132460","true","83","83 .feature files found","true","OK","2026-04-10T07:52:08Z","790583473","false","426","1","0","4","Gherkin","main","","","9","9","9","2837","2024-04-23T06:34:51Z","2026-03-18T07:15:43Z","2026-03-18T07:15:47Z","0","0","0","0","true","false","false","false","",""
"46","1C-CPM/VA-Tests-ERPUH32_2","https://github.com/1C-CPM/VA-Tests-ERPUH32_2","N/A","1","Gherkin","2026-03-11T16:16:03Z","2026-04-06T15:26:37.136458","true","83","83 .feature files found","true","OK","2026-04-10T08:48:31Z","1037843282","false","28","1","0","1","Gherkin","main","","","1","1","3","2124","2025-08-14T07:53:49Z","2026-03-11T16:16:03Z","2026-03-11T16:16:06Z","0","0","0","0","true","false","false","false","",""
"47","ajspadial-science/canciella","https://github.com/ajspadial-science/canciella","A free software alternative to EZProxy","14","Gherkin","2017-01-25T14:23:34Z","2026-04-06T15:26:13.132314","true","81","81 .feature files found","true","OK","2026-04-10T07:48:56Z","63408002","false","51","2","0","5","Cucumber","master","GNU General Public License v3.0","","14","14","0","85","2016-07-15T09:06:32Z","2017-01-25T14:23:34Z","2025-02-17T07:19:25Z","0","0","0","0","true","false","false","false","",""
"48","ptrthomas/karate-test","https://github.com/ptrthomas/karate-test","N/A","1","Gherkin","2023-07-04T15:49:59Z","2026-04-06T15:26:30.391309","true","81","81 .feature files found","true","OK","2026-04-10T08:32:33Z","497239749","false","43","1","0","5","Gherkin","main","","","1","1","0","210","2022-05-28T06:57:16Z","2023-07-04T15:49:59Z","2023-02-03T16:56:44Z","0","0","0","0","true","false","false","false","",""
"49","alsaydi/sarf","https://github.com/alsaydi/sarf","Sarf - Arabic Morphology System","48","Gherkin","2024-09-29T17:03:35Z","2026-04-06T15:26:09.532513","true","80","80 .feature files found","true","OK","2026-04-10T07:41:47Z","123865448","false","565","22","2","8","Gherkin","master","MIT License","","48","48","3","17085","2018-03-05T04:39:41Z","2024-09-29T17:03:35Z","2026-04-05T21:30:55Z","7","7","87","7","true","false","false","false","","arabic,arabic-language,grammar"
"50","alsaydi/sarf-bdd-tests","https://github.com/alsaydi/sarf-bdd-tests","BDD Tests for the Sarf program","2","Gherkin","2020-10-13T15:35:06Z","2026-04-06T15:26:23.949012","true","80","80 .feature files found","true","OK","2026-04-10T08:17:39Z","204337307","false","78","3","0","1","Gherkin","master","","","2","2","0","501","2019-08-25T18:59:20Z","2020-10-13T15:35:06Z","2023-02-05T11:33:49Z","1","1","2","1","true","true","false","false","",""
"51","bbc/bbc-a11y","https://github.com/bbc/bbc-a11y","BBC Accessibility Guidelines Checker","150","Gherkin","2025-04-11T22:34:50Z","2026-04-06T15:26:09.532381","true","78","78 .feature files found","true","OK","2026-04-10T07:38:56Z","19281086","false","577","16","4","29","Gherkin","main","Apache License 2.0","http://www.bbc.co.uk/guidelines/futuremedia/accessibility/mobile","149","149","21","1823","2014-04-29T15:17:42Z","2025-04-11T22:34:50Z","2026-04-08T11:45:28Z","3","3","178","2","false","false","false","false","",""
"52","JoseCiDev/CySuperMonitor","https://github.com/JoseCiDev/CySuperMonitor","N/A","1","Gherkin","2024-12-11T12:05:32Z","2026-04-06T15:26:30.391464","true","77","77 .feature files found","true","OK","2026-04-10T08:35:43Z","652813263","false","350","88","0","0","Gherkin","master","","","1","1","3","20332","2023-06-12T21:10:39Z","2024-12-11T12:05:32Z","2025-02-19T13:42:59Z","0","0","0","0","false","false","false","false","",""
"53","Zibulo/SMMEMerchantPortal","https://github.com/Zibulo/SMMEMerchantPortal","N/A","1","Gherkin","2025-11-14T09:39:52Z","2026-04-06T15:26:40.383716","true","76","76 .feature files found","true","OK","2026-04-10T08:54:42Z","1021388835","false","56","2","0","0","Gherkin","SMME_Asanda","","","1","1","5","289194","2025-07-17T10:19:05Z","2025-11-14T09:39:52Z","2025-09-19T10:05:17Z","0","0","0","0","true","false","false","false","",""
"54","ducminh-phan/reformat-gherkin","https://github.com/ducminh-phan/reformat-gherkin","Formatter for Gherkin language","32","Gherkin","2026-01-05T20:54:07Z","2026-04-06T15:26:09.532614","true","75","75 .feature files found","true","OK","2026-04-10T07:44:01Z","176754377","false","307","3","14","15","Gherkin","master","MIT License","","32","32","4","490","2019-03-20T14:41:53Z","2026-04-06T21:23:07Z","2026-03-06T03:48:21Z","11","11","44","2","true","false","false","false","","formatter,gherkin,gherkin-language"
"55","SUSE/spacewalk-testsuite-base","https://github.com/SUSE/spacewalk-testsuite-base","[DEPRECATED] (now inside SUSE Manager tree) Spacewalk & SUSE Manager automated testsuite","6","Gherkin","2017-11-02T13:23:53Z","2026-04-06T15:26:16.895596","true","75","75 .feature files found","true","OK","2026-04-10T07:57:31Z","4137705","false","2935","8","3","9","Gherkin","master","MIT License","","6","6","23","56775","2012-04-25T14:54:40Z","2017-11-02T13:23:53Z","2024-09-11T17:28:20Z","0","0","414","0","false","true","false","false","",""
