"sno","github_url","repo_name","feature_count","validation_info","status"
"15","https://github.com/patheard/cucumber-puppeteer","patheard/cucumber-puppeteer","30","✓ 30/30 file(s) with valid Gherkin keywords","SUCCESS"
"16","https://github.com/dynamichands/crm.specflow","dynamichands/crm.specflow","30","✓ 30/30 file(s) with valid Gherkin keywords","SUCCESS"
"17","https://github.com/mVermaat/Crm.Specflow","mVermaat/Crm.Specflow","30","✓ 30/30 file(s) with valid Gherkin keywords","SUCCESS"
"18","https://github.com/jakubsob/cucumber","jakubsob/cucumber","28","✓ 28/28 file(s) with valid Gherkin keywords","SUCCESS"
"19","https://github.com/featurehub-io/featurehub","featurehub-io/featurehub","28","✓ 28/28 file(s) with valid Gherkin keywords","SUCCESS"
"20","https://github.com/samuel-ziegler/vitest-cucumber-plugin","samuel-ziegler/vitest-cucumber-plugin","26","✓ 25/26 file(s) with valid Gherkin keywords","SUCCESS"
"21","https://github.com/muralco/pickled-cucumber","muralco/pickled-cucumber","24","✓ 24/24 file(s) with valid Gherkin keywords","SUCCESS"
"22","https://github.com/reportportal/agent-java-cucumber","reportportal/agent-java-cucumber","22","✓ 22/22 file(s) with valid Gherkin keywords","SUCCESS"
"23","https://github.com/hedhyw/gherkingen","hedhyw/gherkingen","19","✓ 16/19 file(s) with valid Gherkin keywords","SUCCESS"
"24","https://github.com/evaluates2/gatsby-starter-typescript-redux-tdd-bdd","evaluates2/gatsby-starter-typescript-redux-tdd-bdd","18","✓ 12/18 file(s) with valid Gherkin keywords","SUCCESS"
"25","https://github.com/serenity-bdd/the-serenity-book","serenity-bdd/the-serenity-book","18","✓ 17/18 file(s) with valid Gherkin keywords","SUCCESS"
"26","https://github.com/gasparnagy/specflowmasterclass.specoverflow","gasparnagy/specflowmasterclass.specoverflow","18","✓ 18/18 file(s) with valid Gherkin keywords","SUCCESS"
"27","https://github.com/cucumber/cucumber-jvm-scala","cucumber/cucumber-jvm-scala","17","✓ 17/17 file(s) with valid Gherkin keywords","SUCCESS"
"28","https://github.com/ssense/node-cucumber-testrail-sync","ssense/node-cucumber-testrail-sync","17","✓ 17/17 file(s) with valid Gherkin keywords","SUCCESS"
"29","https://github.com/ttutisani/xunit.gherkin.quick","ttutisani/xunit.gherkin.quick","17","✓ 16/17 file(s) with valid Gherkin keywords","SUCCESS"
"30","https://github.com/go-bdd/gobdd","go-bdd/gobdd","16","✓ 15/16 file(s) with valid Gherkin keywords","SUCCESS"
"31","https://github.com/cucumber/cucumber-js-pretty-formatter","cucumber/cucumber-js-pretty-formatter","16","✓ 15/16 file(s) with valid Gherkin keywords","SUCCESS"
"32","https://github.com/ThoSe1990/cwt-cucumber","ThoSe1990/cwt-cucumber","16","✓ 15/16 file(s) with valid Gherkin keywords","SUCCESS"
"33","https://github.com/capgemini/powerapps-specflow-bindings","capgemini/powerapps-specflow-bindings","16","✓ 16/16 file(s) with valid Gherkin keywords","SUCCESS"
"34","https://github.com/disneystudios/cucumber-slices-maven-plugin","disneystudios/cucumber-slices-maven-plugin","15","✓ 14/15 file(s) with valid Gherkin keywords","SUCCESS"
"35","https://github.com/PiotrFLEURY/pickled_cucumber","PiotrFLEURY/pickled_cucumber","14","✓ 14/14 file(s) with valid Gherkin keywords","SUCCESS"
"36","https://github.com/kozhevnikov/cucumber-pretty","kozhevnikov/cucumber-pretty","14","✓ 13/14 file(s) with valid Gherkin keywords","SUCCESS"
"37","https://github.com/featureform/embeddinghub","featureform/embeddinghub","14","✓ 14/14 file(s) with valid Gherkin keywords","SUCCESS"
"38","https://github.com/featureform/featureform","featureform/featureform","14","✓ 14/14 file(s) with valid Gherkin keywords","SUCCESS"
"39","https://github.com/arthy000/gherkin-testcafe","arthy000/gherkin-testcafe","14","✓ 14/14 file(s) with valid Gherkin keywords","SUCCESS"
"40","https://github.com/accenture/bdd-for-all","accenture/bdd-for-all","13","✓ 12/13 file(s) with valid Gherkin keywords","SUCCESS"
"41","https://github.com/acmcarther/cucumber","acmcarther/cucumber","13","✓ 13/13 file(s) with valid Gherkin keywords","SUCCESS"
"42","https://github.com/huddlz-hq/cucumber","huddlz-hq/cucumber","12","✓ 12/12 file(s) with valid Gherkin keywords","SUCCESS"
"43","https://github.com/qaPaschalE/playwright-cucumber-ts-steps","qaPaschalE/playwright-cucumber-ts-steps","12","✓ 12/12 file(s) with valid Gherkin keywords","SUCCESS"
"44","https://github.com/wswebcreation/wdio-multiple-cucumber-html-reporter","wswebcreation/wdio-multiple-cucumber-html-reporter","12","✓ 11/12 file(s) with valid Gherkin keywords","SUCCESS"
"46","https://github.com/ahmed-ali/cucumberish","ahmed-ali/cucumberish","11","✓ 11/11 file(s) with valid Gherkin keywords","SUCCESS"
"47","https://github.com/cucumber/cucumber-electron","cucumber/cucumber-electron","11","✓ 11/11 file(s) with valid Gherkin keywords","SUCCESS"
"48","https://github.com/gherking/gherkin-formatter","gherking/gherkin-formatter","11","✓ 9/11 file(s) with valid Gherkin keywords","SUCCESS"
"49","https://github.com/jonsamwell/flutter_gherkin","jonsamwell/flutter_gherkin","11","✓ 11/11 file(s) with valid Gherkin keywords","SUCCESS"
"50","https://github.com/amiceli/vitest-cucumber","amiceli/vitest-cucumber","10","✓ 10/10 file(s) with valid Gherkin keywords","SUCCESS"
"51","https://github.com/hanzelkaraagac/Mini_Bootcamp_Cucumber","hanzelkaraagac/Mini_Bootcamp_Cucumber","10","✓ 10/10 file(s) with valid Gherkin keywords","SUCCESS"
