"id","name","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","blankLines","codeLines","commentLines","metrics","lastCommit","lastCommitSHA","hasWiki","isArchived","isDisabled","isLocked","languages","labels","topics"
"145447","tychobrailleur/cucumber-jvm-examples",false,"35","4","1","48","Java","master","MIT License",,"4","21","2","38","2012-04-30T08:24:47","2018-09-29T03:53:18","2020-01-01T03:07:47","0","0","2","0","91","834","16","[{""blankLines"":0,""codeLines"":22,""commentLines"":0,""language"":""JSP""},{""blankLines"":4,""codeLines"":32,""commentLines"":0,""language"":""XML""},{""blankLines"":8,""codeLines"":28,""commentLines"":0,""language"":""Cucumber""},{""blankLines"":18,""codeLines"":53,""commentLines"":0,""language"":""Groovy""},{""blankLines"":40,""codeLines"":131,""commentLines"":3,""language"":""Java""},{""blankLines"":21,""codeLines"":568,""commentLines"":13,""language"":""Maven""}]","2018-09-29T03:53:01","1d9044c188191d530317f6fafbab36c09ecb2601",true,false,false,false,,"",""
"158665","matthewpietal/eclipse-plugin-for-cucumber",false,"14","1","0","11","Java","master",,,"10","22","1","4751","2012-05-23T01:03:24","2012-09-11T06:14:28","2017-02-21T04:47:40","12","11","0","0","403","1924","412","[{""blankLines"":9,""codeLines"":278,""commentLines"":0,""language"":""XML""},{""blankLines"":341,""codeLines"":1385,""commentLines"":411,""language"":""Java""},{""blankLines"":0,""codeLines"":16,""commentLines"":0,""language"":""INI""},{""blankLines"":4,""codeLines"":19,""commentLines"":0,""language"":""Markdown""},{""blankLines"":4,""codeLines"":13,""commentLines"":0,""language"":""Cucumber""},{""blankLines"":45,""codeLines"":213,""commentLines"":1,""language"":""HTML""}]","2012-09-11T06:14:20","bd28d6bd5da93b615808fdab229680b2fda93b97",true,false,false,false,,"",""
"182552","damianszczepanik/cucumber-reporting",false,"1500","1","0","404","Java","master","GNU Lesser General Public License v2.1",,"61","567","72","23787","2012-07-05T11:20:43","2026-03-07T07:47:18","2026-03-10T01:09:52","462","51","861","11","3455","14017","2502","[{""blankLines"":30,""codeLines"":131,""commentLines"":6,""language"":""YAML""},{""blankLines"":0,""codeLines"":973,""commentLines"":0,""language"":""SVG""},{""blankLines"":50,""codeLines"":198,""commentLines"":30,""language"":""CSS""},{""blankLines"":38,""codeLines"":80,""commentLines"":0,""language"":""Markdown""},{""blankLines"":1,""codeLines"":604,""commentLines"":29,""language"":""JavaScript""},{""blankLines"":3,""codeLines"":1882,""commentLines"":0,""language"":""JSON""},{""blankLines"":3110,""codeLines"":8348,""commentLines"":2405,""language"":""Java""},{""blankLines"":201,""codeLines"":1446,""commentLines"":6,""language"":""Velocity Template Language""},{""blankLines"":0,""codeLines"":18,""commentLines"":11,""language"":""Properties""},{""blankLines"":22,""codeLines"":337,""commentLines"":15,""language"":""Maven""}]","2026-03-07T07:47:16","0baa37c50088bb3247afa1666260cfb3fbc9ab88",false,false,false,false,"{""Java"":435719,""CSS"":4073,""JavaScript"":434}","bug;dependencies;duplicate;enhancement;github_actions;java;not-jvm","cucumber-reports;html-report;java;jenkins;json-report"
"183367","damianszczepanik/maven-cucumber-reporting",false,"388","2","0","114","Java","master","GNU Lesser General Public License v2.1",,"23","130","25","325","2012-07-06T11:50:43","2026-02-07T06:17:45","2026-02-07T06:17:47","123","14","193","1","123","496","117","[{""blankLines"":9,""codeLines"":40,""commentLines"":1,""language"":""YAML""},{""blankLines"":7,""codeLines"":49,""commentLines"":9,""language"":""Markdown""},{""blankLines"":18,""codeLines"":175,""commentLines"":5,""language"":""Maven""},{""blankLines"":89,""codeLines"":232,""commentLines"":102,""language"":""Java""}]","2026-02-07T06:17:44","21cde50d7153543e6956eef37762519784f8fcb4",false,false,false,false,"{""Java"":13503}","bug;dependencies;duplicate;enhancement;github_actions;invalid;java;question;wontfix",""
"184730","mvallebr/bdd-java-cucumber-selenium",false,"3","1","0","24","Java","master",,,"2","15","1","841","2012-07-10T04:10:18","2012-07-10T04:35:13","2017-12-15T04:31:06","0","0","0","0","44","293","0","[{""blankLines"":19,""codeLines"":74,""commentLines"":0,""language"":""Java""},{""blankLines"":4,""codeLines"":15,""commentLines"":0,""language"":""Cucumber""},{""blankLines"":0,""codeLines"":67,""commentLines"":0,""language"":""XML""},{""blankLines"":9,""codeLines"":74,""commentLines"":0,""language"":""Ant""},{""blankLines"":9,""codeLines"":20,""commentLines"":0,""language"":""Markdown""},{""blankLines"":3,""codeLines"":43,""commentLines"":0,""language"":""Maven""}]","2012-07-10T04:34:13","2ee587b1329ff1dc61b8528ddb8c9c24f1575121",true,false,false,false,,"",""
"270740","cucumber/cucumber-eclipse",false,"738","16","38","150","Java","main","MIT License",,"84","201","41","152130","2012-11-06T10:29:33","2026-03-11T05:09:46","2026-03-11T04:37:13","329","15","318","12","3009","15677","3296","[{""blankLines"":0,""codeLines"":21,""commentLines"":0,""language"":""JSON""},{""blankLines"":0,""codeLines"":71,""commentLines"":0,""language"":""INI""},{""blankLines"":15,""codeLines"":41,""commentLines"":4,""language"":""Python""},{""blankLines"":0,""codeLines"":10,""commentLines"":0,""language"":""CSS""},{""blankLines"":8,""codeLines"":70,""commentLines"":0,""language"":""YAML""},{""blankLines"":360,""codeLines"":1124,""commentLines"":7,""language"":""Markdown""},{""blankLines"":16,""codeLines"":215,""commentLines"":1,""language"":""Maven""},{""blankLines"":40,""codeLines"":144,""commentLines"":7,""language"":""Cucumber""},{""blankLines"":49,""codeLines"":1512,""commentLines"":27,""language"":""XML""},{""blankLines"":0,""codeLines"":53,""commentLines"":0,""language"":""Properties""},{""blankLines"":7,""codeLines"":19,""commentLines"":0,""language"":""Bourne Again Shell""},{""blankLines"":0,""codeLines"":1,""commentLines"":0,""language"":""Text""},{""blankLines"":2514,""codeLines"":12396,""commentLines"":3250,""language"":""Java""}]","2026-03-11T04:36:09","4ea6bde3afca5e3d0da5504a0993a0c5f1910aeb",true,false,false,false,"{""Java"":572906,""Shell"":1065,""CSS"":623}",":baby_bottle: incomplete;:bank: debt;:book: documentation;:broken_heart: breaking change;:bug: bug;:cucumber: core team;:dollar: bounty $100;:dollar: bounty $1000;:dollar: bounty $300;:fire: critical;:gemini: duplicate;:hourglass: stale;:no_good: wontfix;:pray: help wanted;:question: question;:robot: dependencies;:safety_pin: pinned;:sparkles: kaizen;:thinking: cannot reproduce;:vertical_traffic_light: needs tests;:white_check_mark: accepted;:wrench: build;:zap: enhancement;automatic-deployment;behave-backend;gherking-formatter;good first issue;groovy-backend;js-backend;junit;security fix;security vulnerability;v0.x;v1.x;v2.x",""
"360436","jenkinsci/cucumber-reports-plugin",false,"593","1","0","229","Java","master","GNU Lesser General Public License v2.1","https://plugins.jenkins.io/cucumber-reports/","118","219","34","4484","2013-02-11T11:49:39","2026-03-08T08:54:48","2026-03-08T08:54:53","294","31","252","0","360","1944","193","[{""blankLines"":2,""codeLines"":80,""commentLines"":0,""language"":""HTML""},{""blankLines"":268,""codeLines"":1250,""commentLines"":171,""language"":""Java""},{""blankLines"":1,""codeLines"":60,""commentLines"":10,""language"":""Properties""},{""blankLines"":17,""codeLines"":214,""commentLines"":10,""language"":""Maven""},{""blankLines"":40,""codeLines"":110,""commentLines"":0,""language"":""Markdown""},{""blankLines"":6,""codeLines"":33,""commentLines"":2,""language"":""YAML""},{""blankLines"":26,""codeLines"":197,""commentLines"":0,""language"":""XML""}]","2026-03-08T08:54:48","7c4181c01b8de2615af781d11e438dd0f12bb64c",true,false,false,false,"{""Java"":63910,""HTML"":5349}","bug;dependencies;duplicate;enhancement;invalid;java;question;ver4.0-candidate;wontfix","cucumber;java;jenkins-plugin;report"
"526874","tristanmccarthy/cucumber-jvm-parallel",false,"4","2","0","48","Java","master",,,"7","16","1","8","2013-06-20T07:31:43","2017-01-03T11:12:40","2019-09-26T03:20:57","5","3","0","0","83","323","35","[{""blankLines"":5,""codeLines"":14,""commentLines"":0,""language"":""Cucumber""},{""blankLines"":69,""codeLines"":177,""commentLines"":35,""language"":""Java""},{""blankLines"":5,""codeLines"":7,""commentLines"":0,""language"":""Markdown""},{""blankLines"":4,""codeLines"":125,""commentLines"":0,""language"":""Maven""}]","2017-01-03T11:12:39","6f5e6524a306161b86fcf95caaf710710d84257e",true,false,false,false,,"",""
"595508","porscheinformatik/cucumber-report-db",false,"212","3","17","22","Java","master",,,"21","16","7","2615","2013-08-06T08:51:59","2018-12-13T09:20:27","2020-06-09T02:55:14","25","11","15","0","2840","15101","4498","[{""blankLines"":0,""codeLines"":11,""commentLines"":0,""language"":""YAML""},{""blankLines"":19,""codeLines"":46,""commentLines"":0,""language"":""Markdown""},{""blankLines"":604,""codeLines"":3135,""commentLines"":84,""language"":""Java""},{""blankLines"":0,""codeLines"":1,""commentLines"":0,""language"":""Bourne Shell""},{""blankLines"":157,""codeLines"":1115,""commentLines"":185,""language"":""JavaScript""},{""blankLines"":50,""codeLines"":859,""commentLines"":4,""language"":""HTML""},{""blankLines"":1096,""codeLines"":6235,""commentLines"":244,""language"":""CSS""},{""blankLines"":25,""codeLines"":97,""commentLines"":7,""language"":""Cucumber""},{""blankLines"":0,""codeLines"":228,""commentLines"":0,""language"":""SVG""},{""blankLines"":48,""codeLines"":498,""commentLines"":1,""language"":""Maven""},{""blankLines"":0,""codeLines"":123,""commentLines"":0,""language"":""JSON""},{""blankLines"":2,""codeLines"":11,""commentLines"":0,""language"":""XML""},{""blankLines"":839,""codeLines"":2742,""commentLines"":3973,""language"":""TypeScript""}]","2018-12-13T09:20:26","4c80efcc6767fd12e29ac3cbc2f367908a17901a",true,false,false,false,,"",""
"631420","damianszczepanik/cucumber-sandwich",false,"305","1","0","30","Java","master",,,"6","63","5","12916","2013-08-30T09:58:29","2026-02-08T06:34:03","2026-02-08T01:55:04","29","1","108","0","80","352","19","[{""blankLines"":25,""codeLines"":29,""commentLines"":0,""language"":""Markdown""},{""blankLines"":9,""codeLines"":40,""commentLines"":1,""language"":""YAML""},{""blankLines"":30,""codeLines"":118,""commentLines"":12,""language"":""Java""},{""blankLines"":16,""codeLines"":165,""commentLines"":6,""language"":""Maven""}]","2026-02-08T06:34:01","b5392219154151bc173bcfe762b912acdade59a7",false,false,false,false,"{""Java"":5833}","bug;dependencies;duplicate;enhancement;github_actions;invalid;java;question;wontfix",""
"723176","jenkinsci/cucumber-testresult-plugin",false,"125","3","20","40","Java","master","Other",,"128","14","5","245","2013-10-24T07:58:48","2019-10-08T10:30:08","2020-02-20T03:42:40","0","0","17","4","809","5861","1135","[{""blankLines"":2,""codeLines"":22,""commentLines"":0,""language"":""HTML""},{""blankLines"":2,""codeLines"":5,""commentLines"":0,""language"":""Markdown""},{""blankLines"":117,""codeLines"":705,""commentLines"":273,""language"":""XML""},{""blankLines"":0,""codeLines"":2682,""commentLines"":0,""language"":""JSON""},{""blankLines"":678,""codeLines"":2285,""commentLines"":834,""language"":""Java""},{""blankLines"":10,""codeLines"":162,""commentLines"":28,""language"":""Maven""}]","2019-10-08T10:30:05","22a2b96117dfc389f881fa1fd93118f9e6d88727",false,false,false,false,,"",""
"738707","amp4045/cucumberbeans",false,"112","2","0","12","Java","master","GNU General Public License v3.0","https://github.com/Downright-Development/Cucumberbeans/","7","15","5","738","2012-12-17T01:32:05","2018-10-23T01:38:24","2018-11-23T01:26:09","40","17","13","0","950","8292","868","[{""blankLines"":763,""codeLines"":5087,""commentLines"":771,""language"":""Java""},{""blankLines"":13,""codeLines"":36,""commentLines"":18,""language"":""Cucumber""},{""blankLines"":0,""codeLines"":38,""commentLines"":0,""language"":""HTML""},{""blankLines"":14,""codeLines"":294,""commentLines"":11,""language"":""Maven""},{""blankLines"":20,""codeLines"":110,""commentLines"":6,""language"":""ANTLR Grammar""},{""blankLines"":108,""codeLines"":2633,""commentLines"":62,""language"":""XML""},{""blankLines"":1,""codeLines"":12,""commentLines"":0,""language"":""YAML""},{""blankLines"":31,""codeLines"":82,""commentLines"":0,""language"":""Markdown""}]","2018-10-23T01:38:23","14a6bd077710211800e7dfefdc98474325e910f7",true,false,false,false,,"",""
"829096","dev9com/cucumber-java-selenium-example",false,"6","2","0","17","Java","master",,,"43","16","2","16246","2013-11-15T06:26:33","2014-07-02T07:36:41","2019-10-18T06:33:27","0","0","0","0","1730","8364","400","[{""blankLines"":0,""codeLines"":229,""commentLines"":0,""language"":""SVG""},{""blankLines"":64,""codeLines"":239,""commentLines"":25,""language"":""Java""},{""blankLines"":1,""codeLines"":3,""commentLines"":0,""language"":""Markdown""},{""blankLines"":0,""codeLines"":8,""commentLines"":0,""language"":""XML""},{""blankLines"":503,""codeLines"":1233,""commentLines"":330,""language"":""JavaScript""},{""blankLines"":1122,""codeLines"":6437,""commentLines"":30,""language"":""CSS""},{""blankLines"":22,""codeLines"":128,""commentLines"":0,""language"":""Maven""},{""blankLines"":12,""codeLines"":57,""commentLines"":14,""language"":""HTML""},{""blankLines"":6,""codeLines"":30,""commentLines"":1,""language"":""Cucumber""}]","2014-07-02T07:36:26","4f5d9dbf414db25ff0360303fca1f91c90902dd9",true,false,false,false,"{""Java"":9833,""JavaScript"":1427,""CSS"":211}","bug;duplicate;enhancement;invalid;question;wontfix",""
"1051902","cucumber/cucumber-java-skeleton",false,"383","3","0","643","Java","main","MIT License",,"100","493","12","1294","2014-03-12T10:06:15","2025-11-21T09:35:09","2025-11-21T09:35:11","29","3","67","1","161","815","217","[{""blankLines"":2,""codeLines"":35,""commentLines"":0,""language"":""YAML""},{""blankLines"":0,""codeLines"":9,""commentLines"":17,""language"":""Properties""},{""blankLines"":40,""codeLines"":70,""commentLines"":0,""language"":""Markdown""},{""blankLines"":53,""codeLines"":283,""commentLines"":162,""language"":""Bourne Shell""},{""blankLines"":17,""codeLines"":105,""commentLines"":31,""language"":""Java""},{""blankLines"":36,""codeLines"":201,""commentLines"":2,""language"":""DOS Batch""},{""blankLines"":8,""codeLines"":81,""commentLines"":3,""language"":""Maven""},{""blankLines"":0,""codeLines"":6,""commentLines"":0,""language"":""JSON""},{""blankLines"":1,""codeLines"":5,""commentLines"":0,""language"":""Cucumber""},{""blankLines"":4,""codeLines"":20,""commentLines"":2,""language"":""Gradle""}]","2025-11-21T09:35:06","83aabb59daac26bb94a97df5877e9cf228b06c14",true,false,false,false,"{""Java"":2150,""Kotlin"":716,""Gherkin"":264}",":robot: dependencies;bug;dependencies;duplicate;enhancement;invalid;question;security fix;security vulnerability;wontfix",""
"1099318","excellentdrums/cucumber-jvm-spring-mvc-test-htmlunit-demo",false,"1","1","0","2","Java","master",,,"2","18","0","136","2014-04-01T07:32:13","2015-08-28T12:50:31","2019-05-21T10:00:58","0","0","0","0","47","217","0","[{""blankLines"":3,""codeLines"":4,""commentLines"":0,""language"":""Markdown""},{""blankLines"":25,""codeLines"":94,""commentLines"":0,""language"":""Java""},{""blankLines"":16,""codeLines"":89,""commentLines"":0,""language"":""Maven""},{""blankLines"":3,""codeLines"":8,""commentLines"":0,""language"":""Cucumber""},{""blankLines"":0,""codeLines"":22,""commentLines"":0,""language"":""HTML""}]","2014-04-01T07:37:45","4f6fc37a21a8f073250c6282d7070d4594085614",true,false,false,false,,"",""
"1123724","kowalcj0/cucumber-testng-parallel-selenium",false,"13","1","0","38","Java","master",,,"14","26","0","192","2014-04-11T03:14:12","2014-04-16T02:15:31","2020-01-15T06:10:41","1","1","0","0","176","1424","288","[{""blankLines"":132,""codeLines"":675,""commentLines"":209,""language"":""Java""},{""blankLines"":11,""codeLines"":49,""commentLines"":0,""language"":""Cucumber""},{""blankLines"":6,""codeLines"":310,""commentLines"":69,""language"":""Maven""},{""blankLines"":0,""codeLines"":292,""commentLines"":10,""language"":""XML""},{""blankLines"":0,""codeLines"":47,""commentLines"":0,""language"":""XSD""},{""blankLines"":27,""codeLines"":51,""commentLines"":0,""language"":""Markdown""}]","2014-04-16T02:14:46","5fe99d488992f06e93a10e6b780bc1f2c51bef74",true,false,false,false,,"",""
